Number,Country,Total cases,Total Deaths,Total Recovered,Active cases,Population
1,South Africa,4006093,101982,3897607,6504,60874940
2,Morocco,1262622,16257,1243835,2530,37826913
3,Tunisia,1134660,29105,1243835,2530,12077638
4,Egypt,515645,24613,442182,48850,106377315
5,Libya,505350,6433,490973,7944,7067004
6,Ethiopia,492491,7569,470633,14289,120928450
7,Réunion,434924,838,418572,15514,908694
8,Kenya,337874,5672,331880,322,56252262
9,Zambia,331358,4016,326083,1259,19462414
10,Botswana,325724,2772,322758,194,2451085
11,Algeria,268254,6878,180076,81300,45509654
12,Nigeria,261885,3147,255481,3257,216841571
13,Zimbabwe,256447,5584,250531,332,15316118
14,Mozambique,229755,2216,227255,284,33089679
15,Uganda,169396,3628,100431,65337,48766924
16,Namibia,169253,4065,164813,375,2637291
17,Ghana,168306,1458,166684,164,32431556
18,Rwanda,132288,1466,45522,85300,13624747
19,Cameroon,120215,1931,117791,493,27929983
20,Angola,102636,1917,97149,3570,35007827
21,DRC,92173,1390,50930,39853,95264942
22,Senegal,87641,1968,85479,194,17668174
23,Malawi,87627,2670,83995,962,20165392
24,Ivory Coast,85712,811,84723,178,27746504
25,Eswatini,73305,1419,71854,32,1185324
26,Madagascar,66557,1409,64909,239,29182157
27,Sudan,63074,4958,64909,239,45993779
28,Mauritania,62657,992,61358,307,4905661
29,Cabo Verde,62207,410,61701,96,568635
30,Gabon,48511,306,47693,512,2335741
31,Burundi,47008,38,47693,512,12632602
32,Seychelles,45540,168,45230,142,99622
33,Mauritius,39751,1015,37816,920,1276187
34,Mayotte,39344,187,37816,920,286603
35,Togo,38192,281,37684,227,8685148
36,Tanzania,37865,841,37684,227,63298176
37,Guinea,37408,445,36419,544,13878961
38,Lesotho,34040,702,24155,9183,2177816
39,Mali,31236,739,30412,85,21472628
40,Benin,27316,163,25506,1647,12788336
41,Somalia,27020,1350,13182,12488,16822016
42,Congo,24775,386,20178,4211,5802586
43,Burkina Faso,21128,387,20439,302,22103907
44,South Sudan,17780,138,15630,2012,11468605
45,Equatorial Guinea,16776,183,16518,75,1499538
46,Djibouti,15690,189,15427,74,1018094
47,CAR,14781,113,6859,7809,5005660
48,Gambia,12149,368,11591,190,2558882
49,Eritrea,10118,103,9906,109,3649230
50,Niger,9119,311,8628,180,26042214
51,Guinea-Bissau,8440,174,8151,115,2065431
52,Comoros,8340,160,7933,247,908402
53,Sierra Leone,7737,125,7933,247,8316773
54,Liberia,7548,294,5747,1507,5306681
55,Chad,7437,193,4874,2370,17413167
56,Sao Tome and Principe,6115,75,6023,17,227684
57,Western Sahara,10,1,9,0,628102
58,Saint Helena,2,1,2,0,6115
